"Lender","UniversityNorm","DuplicateRows","RawNames","Countries","RowNumbers"
"Prodigy","northeastern university","2","Northeastern University","Canada | United States of America","2844, 2845"
"Bank of India","xian jiaotong university","2","Xian Jiaotong University","China | United States of America","6847, 6848"
"Bank of India","vietnam national university hanoi","2","Vietnam National University Hanoi || Vietnam National University, Hanoi","United States of America | Vietnam","6662, 6664"
"Bank of India","university of the witwatersrand","2","University of the Witwatersrand","South Africa | United States of America","6350, 6351"
"Bank of India","university of science and technology of china","2","University of Science & Technology of China || University of Science and Technology of China","China","6110, 6115"
"Bank of India","university of science and technology beijing","2","University of Science & Technology Beijing || University of Science and Technology Beijing","China","6108, 6111"
"Bank of India","university of roma tor vergata","2","University of Roma Tor Vergata || University of Roma, Tor Vergata","Italy | United States of America","6070, 6071"
"Bank of India","university of newcastle","2","University of Newcastle","Australia | United Kingdom","5846, 5847"
"Bank of India","university of missouri columbia","2","University of Missouri Columbia || University of Missouri, Columbia","United States of America","5742, 5748"
"Bank of India","university of milano bicocca","2","University of Milano Bicocca || University of Milano-Bicocca","Italy | United States of America","5720, 5721"
"Bank of India","university of maryland baltimore county","2","University of Maryland Baltimore County || University of Maryland, Baltimore County","United States of America","5634, 5644"
"Bank of India","university of kwazulu natal","2","University of Kwazulu Natal || University of Kwazulu-Natal","South Africa | United States of America","5526, 5527"
"Bank of India","university of electronic science and technology of china","2","University of Electronic Science & Technology of China || University of Electronic Science and Technology of China","China | United States of America","5281, 5282"
"Bank of India","university of colorado denver","2","University of Colorado Denver || University of Colorado, Denver","United States of America","5192, 5194"
"Bank of India","university of chemistry and technology prague","2","University of Chemistry and Technology Prague || University of Chemistry and Technology, Prague","Czechia | United States of America","5147, 5148"
"Bank of India","university of agriculture faisalabad","2","University of Agriculture Faisalabad || University of Agriculture, Faisalabad","Pakistan | United States of America","4862, 4863"
"Bank of India","universitat duisburg essen","2","Universitat Duisburg Essen || Universitat Duisburg-Essen","Germany | United States of America","4592, 4593"
"Bank of India","universitas indonesia","2","Universitas Indonesia","Indonesia | United States of America","4530, 4531"
"Bank of India","universita vita salute san raffaele","2","Universita Vita Salute San Raffaele || Universita Vita-Salute San Raffaele","Italy | United States of America","4512, 4513"
"Bank of India","universidade federal de sao paulo unifesp","2","Universidade Federal de Sao Paulo (UNIFESP) || Universidade Federal de Sao Paulo UNIFESP","Brazil | United States of America","4443, 4446"
"Bank of India","universidade estadual de campinas unicamp","2","Universidade Estadual de Campinas (Unicamp) || Universidade Estadual de Campinas UNICAMP","Brazil | United States of America","4403, 4406"
"Bank of India","universidade de brasilia unb","2","Universidade de Brasilia (UnB) || Universidade de Brasilia UNB","Brazil | United States of America","4371, 4374"
"Bank of India","universidad de los andes colombia","2","Universidad de los Andes Colombia","Colombia | United States of America","4218, 4219"
"Bank of India","universidad de la sabana","2","Universidad de la Sabana","Colombia | United States of America","4204, 4205"
"Bank of India","umm al qura university","2","Umm Al Qura University || Umm Al-Qura University","Saudi Arabia | United States of America","4081, 4082"
"Bank of India","technion israel institute of technology","2","Technion - Israel Institute of Technology || Technion Israel Institute of Technology","Israel | United States of America","3824, 3827"
"Bank of India","sofia university st kliment ohridski","2","Sofia University ""St. Kliment Ohridski"" || Sofia University St Kliment Ohridski","Bulgaria | United States of America","3578, 3581"
"Bank of India","ruhr universitat bochum","2","Ruhr Universitat Bochum || Ruhr-Universitat Bochum","Germany | United States of America","3323, 3324"
"Bank of India","rheinische friedrich wilhelms universitat bonn","2","Rheinische Friedrich Wilhelms Universitat Bonn || Rheinische Friedrich-Wilhelms-Universitat Bonn","Germany | United States of America","3253, 3255"
"Bank of India","princess nourah bint abdulrahman university","2","Princess Nourah bint Abdulrahman University","Saudi Arabia | United States of America","3131, 3132"
"Bank of India","prince sattam bin abdulaziz university","2","Prince Sattam bin Abdulaziz University","Saudi Arabia | United States of America","3124, 3125"
"Bank of India","pontificia universidade catolica do rio de janeiro puc rio","2","Pontificia Universidade Catolica do Rio de Janeiro (PUC - Rio) || Pontificia Universidade Catolica do Rio de Janeiro PUC-RIO","Brazil | United States of America","3104, 3107"
"Bank of India","philipps universitat marburg","2","Philipps Universitat Marburg || Philipps-Universitat Marburg","Germany | United States of America","3046, 3047"
"Bank of India","norwegian university of science and technology","2","Norwegian University of Science & Technology || Norwegian University of Science And Technology","Norway | United States of America","2891, 2893"
"Bank of India","north west university","2","North West University || North-West University","South Africa | United States of America","2829, 2830"
"Bank of India","national yang ming chiao tung university","2","National Yang Ming Chiao Tung University‎","Taiwan | United States of America","2743, 2744"
"Bank of India","national sun yat sen university","2","National Sun Yat Sen University || National Sun Yat-sen University","Taiwan | United States of America","2686, 2687"
"Bank of India","nanjing university of science and technology","2","Nanjing University of Science & Technology || Nanjing University of Science and Technology","China","2613, 2614"
"Bank of India","nanjing university of aeronautics and astronautics","2","Nanjing University of Aeronautics & Astronautics || Nanjing University of Aeronautics and Astronautics","China","2605, 2606"
"Bank of India","missouri university of science and technology","2","Missouri University of Science & Technology || Missouri University of Science and Technology","United States of America","2520, 2523"
"Bank of India","martin luther universitat halle wittenberg","2","Martin Luther Universitat Halle Wittenberg || Martin-Luther-Universitat Halle-Wittenberg","Germany | United States of America","2394, 2395"
"Bank of India","macau university of science and technology","2","Macau University of Science & Technology || Macau University of Science and Technology","China | United States of America","2349, 2350"
"Bank of India","kingston university london","2","Kingston University London || Kingston University, London","United Kingdom","2076, 2077"
"Bank of India","karl franzens universitat graz","2","Karl Franzens Universitat Graz || Karl-Franzens-Universitat Graz","Austria | United States of America","1973, 1974"
"Bank of India","justus liebig universitat giessen","2","Justus Liebig Universitat Giessen || Justus-Liebig-Universitat Giessen","Germany | United States of America","1937, 1938"
"Bank of India","jeonbuk national university","2","Jeonbuk National University","South Korea | United States of America","1873, 1874"
"Bank of India","iscte instituto universitario de lisboa","2","ISCTE - Instituto Universitario de Lisboa || ISCTE Instituto Universitario de Lisboa","Portugal | United States of America","1812, 1815"
"Bank of India","humboldt universitat zu berlin","2","Humboldt Universitat zu Berlin || Humboldt-Universitat zu Berlin","Germany | United States of America","1606, 1608"
"Bank of India","huazhong university of science and technology","2","Huazhong University of Science & Technology || Huazhong University of Science and Technology","China | United States of America","1593, 1594"
"Bank of India","hong kong university of science and technology","2","Hong Kong University of Science & Technology || Hong Kong University of Science and Technology","China","1572, 1574"
"Bank of India","government college university faisalabad","2","Government College University Faisalabad || Government College University, Faisalabad","Pakistan | United States of America","1372, 1374"
"Bank of India","goldsmiths university of london","2","Goldsmiths University of London || Goldsmiths, University of London","United Kingdom","1364, 1365"
"Bank of India","east china university of science and technology","2","East China University of Science & Technology || East China University of Science and Technology","China | United States of America","1048, 1049"
"Bank of India","daegu gyeongbuk institute of science and technology dgist","2","Daegu Gyeongbuk Institute of Science & Technology DGIST || Daegu Gyeongbuk Institute of Science and Technology (DGIST)","South Korea | United States of America","915, 916"
"Bank of India","czech technical university in prague","2","Czech Technical University in Prague","Czechia | United States of America","907, 908"
"Bank of India","chung ang university","2","Chung Ang University || Chung-Ang University","South Korea | United States of America","747, 750"
"Bank of India","christian albrechts universitat zu kiel","2","Christian Albrechts Universitat zu Kiel || Christian-Albrechts-Universitat zu Kiel","Germany | United States of America","738, 739"
"Bank of India","china university of mining and technology","2","China University of Mining & Technology || China University of Mining and Technology","China | United States of America","704, 705"
"Bank of India","ben gurion university of the negev","2","Ben Gurion University of the Negev","Israel | United States of America","381, 382"
"Bank of India","bar ilan university","2","Bar Ilan University || Bar-Ilan University","Israel | United States of America","314, 315"
"Bank of India","athens university of economics and business","2","Athens University of Economics and Business","Greece | United States of America","238, 239"
"Bank of India","arak university of medical sciences","2","Arak University of Medical Sciences","United States of America","196, 197"
"Bank of India","applied science private university jordan","2","Applied Science Private University - Jordan","Jordan | United States of America","188, 189"
"Bank of India","american university of beirut aub","2","American University of Beirut (AUB)","Lebanon | United States of America","141, 142"
"Bank of India","al ahliyya amman university","2","Al Ahliyya Amman University || Al-Ahliyya Amman University","Jordan | United States of America","77, 93"
"Bank of India","agh university of krakow","2","AGH University of Krakow","Poland | United States of America","46, 49"
"Bank of India","adam mickiewicz university","2","Adam Mickiewicz University","Poland | United States of America","33, 36"
